Date,Open,High,Low,Close,Adj Close,Volume
2018-06-14,152.000000,156.899994,149.699997,155.600006,155.207779,1819
2018-06-15,156.500000,156.500000,143.000000,150.350006,149.971008,1206
2018-06-18,148.500000,148.500000,144.899994,147.100006,146.729202,170
2018-06-19,143.550003,146.399994,140.649994,142.750000,142.390167,791
2018-06-20,144.550003,150.300003,144.550003,148.800003,148.424911,916
2018-06-21,149.050003,149.050003,145.449997,146.250000,145.881332,143
2018-06-22,145.449997,147.600006,145.449997,147.449997,147.259552,160
2018-06-25,146.199997,147.550003,136.649994,137.449997,137.272476,2902
2018-06-26,138.000000,147.199997,138.000000,146.699997,146.510529,2185
2018-06-27,145.250000,145.250000,139.800003,144.550003,144.363312,139
2018-06-28,142.399994,142.399994,129.250000,133.000000,132.828217,1306
2018-06-29,137.500000,140.050003,137.149994,138.250000,138.071442,304
2018-07-02,135.600006,136.850006,135.600006,136.699997,136.523438,75
2018-07-03,137.000000,137.850006,137.000000,137.000000,136.823059,208
2018-07-04,136.000000,139.399994,136.000000,139.399994,139.219955,410
2018-07-05,139.649994,142.850006,139.649994,142.850006,142.665512,315
2018-07-06,145.600006,145.600006,143.500000,144.750000,144.563049,265
2018-07-09,144.000000,146.050003,144.000000,145.600006,145.411957,372
2018-07-10,146.050003,149.300003,146.050003,149.050003,148.857498,410
2018-07-11,148.399994,148.399994,145.449997,145.750000,145.561752,192
2018-07-12,147.550003,152.600006,147.550003,151.649994,151.454132,476
2018-07-13,152.649994,152.850006,151.949997,151.949997,151.753738,498
2018-07-16,151.649994,153.699997,151.649994,153.699997,153.501480,501
2018-07-17,153.100006,153.600006,149.399994,153.000000,152.802383,652
2018-07-18,153.100006,156.149994,153.100006,155.500000,155.299164,238
2018-07-19,154.300003,155.050003,153.350006,154.000000,153.801102,572
2018-07-20,152.550003,155.600006,152.550003,155.399994,155.199280,201
2018-07-23,156.149994,159.000000,156.149994,159.000000,158.794647,890
2018-07-24,161.750000,163.500000,158.750000,159.800003,159.593613,970
2018-07-25,158.000000,159.750000,158.000000,159.750000,159.543671,12
2018-07-26,161.050003,162.800003,161.050003,162.550003,162.340057,197
2018-07-27,163.050003,163.600006,161.850006,162.399994,162.190247,321
2018-07-30,162.350006,163.899994,159.000000,160.399994,160.192825,1063
2018-07-31,160.899994,161.300003,159.149994,159.600006,159.393875,618
2018-08-01,160.050003,162.550003,160.000000,162.550003,162.340057,235
2018-08-02,160.050003,162.500000,159.449997,162.199997,161.990509,212
2018-08-03,162.500000,164.600006,162.500000,164.000000,163.788177,298
2018-08-06,165.000000,165.899994,164.949997,165.750000,165.535919,329
2018-08-07,167.550003,168.449997,165.149994,166.350006,166.135147,141
2018-08-08,165.949997,166.550003,165.949997,166.199997,165.985336,213
2018-08-09,166.149994,169.199997,166.149994,169.199997,168.981461,296
2018-08-10,167.500000,168.550003,166.699997,168.449997,168.232437,775
2018-08-13,168.000000,169.699997,167.899994,169.699997,169.480820,505
2018-08-14,171.500000,171.949997,170.000000,171.800003,171.578110,599
2018-08-15,170.850006,170.850006,161.699997,163.500000,163.288834,904
2018-08-16,167.500000,176.800003,167.500000,176.800003,176.571655,1635
2018-08-17,177.149994,179.000000,175.300003,178.550003,178.319397,1538
2018-08-20,183.600006,186.100006,182.250000,186.100006,185.859650,2671
2018-08-21,187.000000,187.000000,179.149994,182.600006,182.364166,1067
2018-08-22,181.699997,182.600006,179.699997,180.949997,180.716293,405
2018-08-23,180.649994,186.600006,180.649994,185.699997,185.460159,857
2018-08-24,187.000000,188.000000,185.350006,188.000000,187.757187,936
2018-08-27,189.949997,195.000000,189.949997,193.149994,192.900528,1320
2018-08-28,195.500000,195.500000,188.949997,193.449997,193.200150,1708
2018-08-29,193.800003,193.800003,190.399994,193.449997,193.200150,1667
2018-08-30,192.899994,192.899994,189.850006,191.300003,191.052933,1152
2018-08-31,190.899994,192.000000,190.050003,192.000000,191.752014,999
2018-09-03,192.899994,196.649994,192.899994,195.449997,195.197556,813
2018-09-04,198.000000,198.500000,191.399994,192.899994,192.650848,556
2018-09-05,195.899994,196.449997,174.000000,186.350006,186.109314,1301
2018-09-06,187.500000,188.500000,181.000000,185.899994,185.659897,2009
2018-09-07,187.000000,192.500000,184.850006,192.449997,192.201431,1003
2018-09-10,195.449997,195.449997,186.399994,186.399994,186.159241,454
2018-09-11,186.550003,188.149994,186.550003,188.000000,187.757187,179
2018-09-12,187.149994,189.750000,185.699997,185.850006,185.609970,1168
2018-09-13,186.899994,188.000000,181.399994,182.899994,182.663773,2254
2018-09-14,183.949997,189.500000,183.300003,189.199997,188.955627,830
2018-09-17,190.000000,190.000000,187.449997,187.449997,187.207886,262
2018-09-18,186.699997,188.250000,183.550003,187.750000,187.507507,1480
2018-09-19,189.000000,189.000000,184.550003,184.600006,184.361588,194
2018-09-20,185.449997,185.449997,168.500000,177.100006,176.871262,1400
2018-09-21,176.050003,179.500000,174.800003,179.149994,178.918610,609
2018-09-24,178.000000,182.600006,177.000000,182.600006,182.364166,381
2018-09-25,183.500000,192.000000,182.500000,192.000000,191.752014,797
2018-09-26,193.300003,194.850006,190.449997,190.449997,190.204010,2177
2018-09-27,188.550003,190.149994,188.550003,189.600006,189.355118,90
2018-09-28,188.300003,190.149994,186.699997,187.000000,186.758469,447
2018-10-01,188.600006,191.449997,188.600006,191.300003,191.052933,172
2018-10-02,192.000000,192.050003,189.350006,190.449997,190.204010,104
2018-10-04,191.949997,193.750000,190.949997,193.750000,193.499756,324
